Waypoint Number,X [m],Y [m],Alt. ASL [m],Alt. AGL [m],xcoord,ycoord
"1",336958.35,4762858.69,30,nan,-89.0003069511573,43.0009225317008
"2",337046.82,4762858.69,30,nan,-88.9992221426922,43.0009414926987
"3",337046.82,4762849.04,30,nan,-88.9992193268683,43.000854680007
"4",336958.35,4762849.04,30,nan,-89.000304133808,43.0008357190663
"5",336958.35,4762839.4,30,nan,-89.0003013164712,43.0007489064303
"6",337046.82,4762839.4,30,nan,-88.9992165110569,43.0007678673138
"7",337046.82,4762829.75,30,nan,-88.999213695258,43.0006810546191
"8",336958.35,4762829.75,30,nan,-89.0002984991469,43.0006620937929
"9",336958.35,4762820.1,30,nan,-89.0002956818351,43.000575281154
"10",337046.82,4762820.1,30,nan,-88.9992108794717,43.000594241923
